CIF|AsofDate_x|OpenDate_x|Bucket_x|Collectibility_Desc_x|Oustanding_x|AsofDate_y|OpenDate_y|Bucket_y|Collectibility_Desc_y|Oustanding_y
01.40.011029.01 / 7318|31/01/2019|31/05/2018|1_Current|1_Current|125000000|||||0
01.40.011031.02 / 7328|31/01/2019|16/07/2018|2_DPD1+|1_Current|187499800|||||0
01.40.011039.03 / 7345|31/01/2019|23/08/2018|2_DPD1+|1_Current|172220000|||||0
01.40.011046.02 / 7365|31/01/2019|19/09/2018|2_DPD1+|1_Current|250000000|||||0
01.40.011047.05 / 7375|31/01/2019|16/10/2018|2_DPD1+|1_Current|210937500|||||0
01.40.011067.03 / 7424|31/01/2019|15/01/2019|1_Current|1_Current|100000000|||||0
01.40.011071.02 / 7430|31/01/2019|25/01/2019|1_Current|1_Current|150000000|||||0
01.50.011103.01 / 7173|31/01/2019|31/10/2017|1_Current|1_Current|122475000|||||0
01.50.011203.07 / 7337|31/01/2019|06/08/2018|2_DPD1+|1_Current|132500000|||||0
