CIF|AsofDate_x|OpenDate_x|Bucket_x|Collectibility_Desc_x|Oustanding_x|AsofDate_y|OpenDate_y|Bucket_y|Collectibility_Desc_y|Oustanding_y
01.40.011047.05 / 7375|31/08/2019|16/10/2018|2_DPD1+|1_Current|181975000|31/07/2019|16/10/2018|2_DPD1+|1_Current|186662500
01.40.011088.08 / 7471|31/08/2019|22/03/2019|2_DPD1+|1_Current|179165000|31/07/2019|22/03/2019|2_DPD1+|1_Current|183332000
01.50.011320.12 / 7515|31/08/2019|30/04/2019|3_DPD30+|1_Current|229130000|31/07/2019|30/04/2019|1_Current|1_Current|234340000
