CIF|AsofDate_x|OpenDate_x|Bucket_x|Collectibility_Desc_x|Oustanding_x|AsofDate_y|OpenDate_y|Bucket_y|Collectibility_Desc_y|Oustanding_y
01.40.011031.02 / 7328|28/02/2019|16/07/2018|2_DPD1+|1_Current|177083100|31/01/2019|16/07/2018|2_DPD1+|1_Current|187499800
01.40.011039.03 / 7345|28/02/2019|23/08/2018|2_DPD1+|1_Current|166664000|31/01/2019|23/08/2018|2_DPD1+|1_Current|172220000
01.40.011046.02 / 7365|28/02/2019|19/09/2018|2_DPD1+|1_Current|237500000|31/01/2019|19/09/2018|2_DPD1+|1_Current|250000000
01.40.011047.05 / 7375|28/02/2019|16/10/2018|2_DPD1+|1_Current|206250000|31/01/2019|16/10/2018|2_DPD1+|1_Current|210937500
01.40.011071.02 / 7430|28/02/2019|25/01/2019|2_DPD1+|1_Current|145775000|31/01/2019|25/01/2019|1_Current|1_Current|150000000
