CIF|AsofDate_x|OpenDate_x|Bucket_x|Collectibility_Desc_x|Oustanding_x|AsofDate_y|OpenDate_y|Bucket_y|Collectibility_Desc_y|Oustanding_y
01.40.011031.02 / 7328|31/03/2019|16/07/2018|2_DPD1+|1_Current|166666400|28/02/2019|16/07/2018|2_DPD1+|1_Current|177083100
01.40.011039.03 / 7345|31/03/2019|23/08/2018|2_DPD1+|1_Current|161108000|28/02/2019|23/08/2018|2_DPD1+|1_Current|166664000
01.40.011046.02 / 7365|31/03/2019|19/09/2018|2_DPD1+|1_Current|225000000|28/02/2019|19/09/2018|2_DPD1+|1_Current|237500000
01.40.011047.05 / 7375|31/03/2019|16/10/2018|2_DPD1+|1_Current|201562500|28/02/2019|16/10/2018|2_DPD1+|1_Current|206250000
01.40.011088.08 / 7471|31/03/2019|22/03/2019|1_Current|1_Current|200000000|||||0
